978000000006,Halo: The Fall of Reach,Eric Nylund,Tor Books,2001,Ficcion,4,Estante H1,Novela que narra el origen del Jefe Maestro y la caída de Reach.
978000000007,Halo: The Flood,William C. Dietz,Del Rey,2003,Ficcion,3,Estante H1,Adaptación en novela de los eventos del juego Halo Combat Evolved.
978000000008,Halo: First Strike,Eric Nylund,Del Rey,2003,Ficcion,5,Estante H1,Relata lo que ocurre entre Halo Combat Evolved y Halo 2.
978000000009,Halo: Ghosts of Onyx,Eric Nylund,Tor Books,2006,Ficcion,2,Estante H2,Historia centrada en el programa Spartan III y el misterioso mundo de Onyx.
978000000010,Halo: Contact Harvest,Joseph Staten,Tor Books,2007,Ficcion,4,Estante H2,Relata el primer contacto de la humanidad con el Covenant en Harvest.
978000000011,Halo: The Cole Protocol,Tobias S. Buckell,Tor Books,2008,Ficcion,3,Estante H2,Novela sobre misiones secretas para proteger la ubicación de la Tierra.
978000000012,Halo: Cryptum,Greg Bear,Tor Books,2011,Ficcion,3,Estante H3,Primer libro de la saga Forerunner sobre la antigua civilización precursora.
978000000013,Halo: Primordium,Greg Bear,Tor Books,2012,Ficcion,3,Estante H3,Segundo libro Forerunner que sigue a un grupo de humanos atrapados en un anillo Halo.
978000000014,Halo: Silentium,Greg Bear,Tor Books,2013,Ficcion,3,Estante H3,Cierre de la trilogía Forerunner y del conflicto con el Flood original.
978000000015,Halo: New Blood,Matt Forbeck,Tor Books,2015,Ficcion,2,Estante H4,Historia del ODST Buck y su transición al programa Spartan IV.
978000000016,Halo: Last Light,Troy Denning,Tor Books,2015,Ficcion,2,Estante H4,Investigación de asesinatos en un mundo colonial con misterios Forerunner.
978000000017,Halo: Retribution,Troy Denning,Tor Books,2017,Ficcion,2,Estante H4,Secuela de Last Light con el equipo Ferret en una misión encubierta.
978000000018,Halo: Shadows of Reach,Troy Denning,Tor Books,2020,Ficcion,2,Estante H5,El Equipo Azul regresa a Reach para recuperar secretos de la Dra Halsey.
978000000019,Halo: Mythos,Jeremy Patenaude,Grijalbo México,2016,Referencia,1,Estante H5,Guía ilustrada a la historia y cronología del universo Halo.
978000000020,Horus Rising,Dan Abnett,Black Library,2006,Ficcion,4,Estante W1,Primer libro de la Herejía de Horus que presenta al Señor de la Guerra.
978000000021,False Gods,Graham McNeill,Black Library,2006,Ficcion,4,Estante W1,Novela donde Horus es corrompido y comienza su caída al Caos.
978000000022,Galaxy in Flames,Ben Counter,Black Library,2006,Ficcion,4,Estante W1,Relata la masacre de Istvaan III y el inicio abierto de la traición.
978000000023,The Flight of the Eisenstein,James Swallow,Black Library,2007,Ficcion,3,Estante W2,El capitán Garro huye para advertir al Emperador de la traición.
978000000024,Fulgrim,Graham McNeill,Black Library,2007,Ficcion,3,Estante W2,Narra la corrupción de la Legión de los Hijos del Emperador.
978000000025,Descent of Angels,Mittchell Scanlon,Black Library,2007,Ficcion,3,Estante W2,Historia temprana de los Ángeles Oscuros y su mundo natal Caliban.
978000000026,Legion,Dan Abnett,Black Library,2008,Ficcion,3,Estante W3,Introduce a la enigmática Alpha Legion y sus motivaciones ocultas.
978000000027,Battle for the Abyss,Ben Counter,Black Library,2008,Ficcion,2,Estante W3,Relata el intento de sabotear un enorme navío de guerra traidor.
978000000028,Mechanicum,Graham McNeill,Black Library,2008,Ficcion,3,Estante W3,Explora la guerra civil en Marte durante la Herejía de Horus.
978000000029,Tales of Heresy,Varios,Black Library,2009,Antologia,2,Estante W4,Colección de relatos cortos ambientados en la Herejía de Horus.
